title,uuid,tags,links,last_mod_dt,word_count
Snow covers the ground,['202003191624'],['#my-haiku'],"['[[201912181135]]', '[[202003191624]]']",Fri Nov 24 19:46:44 2023,50
The Mind Is Both Empty And Cognizant,['202010300734'],"['#dzogchen', '#beautiful-language', '#beautiful-language']","['[[202010300734]]', '[[201902180552]]', '[[202010300749]]', '[[202007202008]]', '[[201903040448]]', '[[202008101526]]', '[[202011071727]]', '[[202010300736]]', '[[201904041053]]', '[[201909030551]]', '[[202009061358]]', '[[202010261930]]', '[[201901301240]]', '[[202010270725]]']",Fri Nov 24 19:46:44 2023,234
"Partisanship impacts vaccination rates, which impacts COVID-19 death rates",['202310032023'],"['#sociology', '#medical']","['[[202310032023]]', '[[202309011733]]']",Wed Oct 04 20:26:24 2023,281
Outlining a 'Train of Thought',['202401070759'],"['#ChatGPT-Tool', '#ideation', '#structure-writing', '#latest)']","['[[202401070759]]', '[[202210160719]]', '[[202203031429]]']",Tue Mar 05 19:21:22 2024,755
Contact Increases Friendliness,['202009220813'],"['#mental-models', '#conversation-skills']","['[[202009220813]]', '[[202009220727]]', '[[202009210916]]', '[[202208090830]]', '[[201912101011]]', '[[201904150946]]']",Wed Dec 27 20:17:20 2023,375
Note-taking At The Expense Of Writing,['202107111250'],['#note-taking'],"['[[202107111250]]', '[[202202060916]]', '[[202204301102]]']",Fri Feb 03 09:09:30 2023,222
The Hinge Of History,['202109220816'],"['#mental-models', '#history']","['[[202109220816]]', '[[202109220828]]']",Fri Feb 03 09:09:30 2023,86
Going Positive and Going First,['202310012026'],['#positive-friction'],"['[[202310012026]]', '[[202209221158]]', '[[202106301921]]', '[[201903280559]]']",Mon Oct 02 05:39:21 2023,226
Exploring the Multifaceted Concept of Ambient,['202403020840'],"['#philosophy', '#creativity', '#environmental', '#love', '#environmental_philosophy', '#ambient', '#definition']","['[[202403020840]]', '[[202403091737]]', '[[202403092040]]', '[[202402180542]]', '[[202401271929]]', '[[202204240715]]', '[[202204292052]]', '[[202406181613]]']",Tue Jun 18 16:27:46 2024,1089
Hub Notes,['202004202102'],['#zettelkasting'],"['[[202004202102]]', '[[202004020722]]', '[[202003231432]]', '[[202004020722]]', '[[202004202102]]', '[[202001161029]]', '[[202001211808]]', '[[201901231902]]', '[[202005020537]]', '[[202004202104]]', '[[201901261654]]', '[[201901231915]]', '[[202008220529]]', '[[201901231854]]', '[[201901231938]]', '[[201901231920]]']",Fri Nov 24 19:46:44 2023,216
A-We See The Sacred From Afar,['202303240823'],"['#congeries', '#article', '#thinking', '#mental-models', '#writing-tip']","['[[202303240823]]', '[[202406150828]]', '[[202303231020]]', '[[202406140607]]', '[[202303042018]]', '[[202307172039]]', '[[202403242044]]']",Mon Jun 17 05:59:34 2024,1683
Future's history,['201908211317'],"['#dzogchen', '#mindfulness']","['[[202001031639]]', '[[201908211317]]']",Fri Nov 24 19:46:44 2023,57
S-ZK Workflows,['202008222026'],"['#sub-hub', '#zettelkasting', '#zettelkasting.']","['[[202008222026]]', '[[202102100614]]', '[[202306232125]]', '[[202008300653]]', '[[202008230753]]', '[[202008300653]]', '[[202205060853]]', '[[202305311755]]', '[[202008230753]]', '[[202007061114]]', '[[202007050655]]', '[[202106301816]]', '[[202008240533]]', '[[202008300653]]', '[[202008300656]]', '[[202312080844]]', '[[202306091955]]', '[[202007291313]]', '[[202210160719]]', '[[202302231705]]', '[[201901281916]]']",Wed Dec 27 19:58:06 2023,367
Metta aphorisms,['201903101756'],['#mindfulness'],"['[[202106160520]]', '[[201903101756]]', '[[202104061057]]']",Fri Nov 24 19:46:44 2023,227
Random lines from multiple files,['202208042030'],"['#python', '#code-snippet']","['[[202208042030]]', '[[202110280509]]']",Wed Dec 27 19:58:06 2023,83
